opt-2.7b batch_size: 16, train_epochs: 10
epoch 1, loss 9.907584288181402, ValAcc 0.28338661908536605
epoch 2, loss 8.420467534126379, ValAcc 0.2579207113936525
epoch 3, loss 6.879687485022423, ValAcc 0.23560822787687735
epoch 4, loss 5.54868917625684, ValAcc 0.2420285156470047
epoch 5, loss 4.55787006119887, ValAcc 0.2628220345878574
epoch 6, loss 3.8407889257352323, ValAcc 0.2720574262420306
epoch 7, loss 3.3078962537927397, ValAcc 0.2656550498112542
epoch 8, loss 2.903760192109845, ValAcc 0.255305839255633
epoch 9, loss 2.586665235916179, ValAcc 0.2545882239461865
epoch 10, loss 2.332373151789682, ValAcc 0.26078537984748446


opt-350m batch_size: 16, train_epochs: 10
epoch 1, loss 13.429944460208599, ValAcc 0.14132197414672895
epoch 2, loss 12.176658505048508, ValAcc 0.14745891128807193
epoch 3, loss 10.950533320761135, ValAcc 0.1273021788891599
epoch 4, loss 9.720858644216488, ValAcc 0.12211837705521748
epoch 5, loss 8.543727886982452, ValAcc 0.159696322325048
epoch 6, loss 7.472282176853245, ValAcc 0.16193411944059818
epoch 7, loss 6.563110107631037, ValAcc 0.154112625435097
epoch 8, loss 5.8149909635480395, ValAcc 0.14150231424789167
epoch 9, loss 5.2094855805238085, ValAcc 0.13772860832992903
epoch 10, loss 4.717626153677702, ValAcc 0.13702365911146125
